RegionID,SizeRank,City,RegionType,State,Metro,CountyName,Mean (2010),Mean (2020),Mean (2021(Q1)),Code,Originating Domestic Passengers 10%,Originating Domestic Passengers,AIRPORT,LATITUDE,LONGITUDE
42406,6704,Greenfield Center,City,NY,Albany-Schenectady-Troy,Saratoga County,238598.31,268263.92,295017.0,,,,,,
4983,12923,Greenport,City,NY,New York-Newark-Jersey City,Suffolk County,532957.18,656816.58,713383.33,,,,,,
28701,22037,Greenvale,City,NY,New York-Newark-Jersey City,Nassau County,598765.22,697189.08,740520.33,,,,,,
11732,10550,Greenwood Lake,City,NY,New York-Newark-Jersey City,Orange County,225638.35,258691.33,277725.67,,,,,,
11774,24947,Hagaman,City,NY,Amsterdam,Montgomery County,137436.45,168598.33,177326.0,,,,,,
11790,29449,Hammondsport,City,NY,Corning,Steuben County,187590.38,216094.67,223319.0,,,,,,
18451,5189,Hampton Bays,City,NY,New York-Newark-Jersey City,Suffolk County,478201.96,593736.75,666591.0,,,,,,
45663,13432,Harriman,City,NY,New York-Newark-Jersey City,Orange County,207428.21,244929.92,260716.67,,,,,,
9618,29449,Harrisville,City,NY,Ogdensburg-Massena,Saint Lawrence County,76894.54,89048.58,93514.67,,,,,,
18489,5798,Hartsdale,City,NY,New York-Newark-Jersey City,Westchester County,529201.6,593477.83,611439.67,,,,,,
38917,6316,Hastings on Hudson,City,NY,New York-Newark-Jersey City,Westchester County,705047.05,788508.17,834301.67,,,,,,
45692,9095,Hawthorne,City,NY,New York-Newark-Jersey City,Westchester County,519394.61,588113.83,609935.67,,,,,,
11849,19629,Head of the Harbor,City,NY,New York-Newark-Jersey City,Suffolk County,915023.18,890248.25,961102.33,,,,,,
5144,16726,Heuvelton,City,NY,Ogdensburg-Massena,Saint Lawrence County,66195.79,76462.75,80804.0,,,,,,
18556,7629,Hewlett,City,NY,New York-Newark-Jersey City,Nassau County,548717.89,677514.5,718009.33,,,,,,
25112,1315,Hicksville,City,NY,New York-Newark-Jersey City,Nassau County,424410.89,524972.5,553645.33,,,,,,
11894,28098,High Falls,City,NY,Kingston,Ulster County,236757.57,296376.17,336996.0,,,,,,
11899,8222,Highland,City,NY,Kingston,Ulster County,218315.45,258067.0,291568.33,,,,,,
35431,11227,Highland Falls,City,NY,New York-Newark-Jersey City,Orange County,229577.5,256140.92,273361.0,,,,,,
32045,13943,Hilton,City,NY,Rochester,Monroe County,142468.63,174866.33,189956.67,,,,,,
11944,12471,Holland Patent,City,NY,Utica-Rome,Oneida County,149554.09,183615.33,193112.33,,,,,,
52545,28646,Holley,City,NY,Rochester,Orleans County,107641.55,129338.58,132126.33,,,,,,
11957,4026,Holtsville,City,NY,New York-Newark-Jersey City,Suffolk County,360046.4,440524.42,477577.67,,,,,,
11964,6764,Honeoye Falls,City,NY,Rochester,Monroe County,239483.06,279546.08,303712.0,,,,,,
